,sentiment,content
3285,anger,@ashleighjessica @zacflint1 I'd give that pout the firm D
3320,anger,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry"
3372,anger,@ScottCarmichae1 @Murican_Stuff don't fret -- this guy is mad because when @realDonaldTrump  is elected he might have to get a real job
3391,anger,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps
3415,anger,@keithboykin unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec
3436,anger,Forgot to eat dinner and now I'm furious with everything and everyone
3437,anger,"Okay you've annoyed me, you haven't done a good job there at all. "
3481,anger,@o2academybham since when the fuck can you not stand at a concert? #raging
3518,anger,Candace &amp; her pout are getting right on my tits #GBBO
3616,anger,Im so angry 😂🙃
3621,anger,That grudge you're holding keeps making an appearance because #God wants you to deal with it.
3652,anger,"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. "
3752,anger,rught brb on me ipod. if i randomly go off its cos me internet breaks
3756,anger,my gawwddd ! 6 headshotss inna row? im on fyaaahhh!
3762,anger,"You offend me, @Tansorma"
3786,anger,My mind is raging and i just want to end it all
3929,anger,Like he really just fucking asked me that. 
3932,anger,Having one of those #angry days. I will have to stop watching #news.
3943,anger,@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! #rage
3975,anger,Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.
3980,anger,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
4122,anger,@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! #outrage
4205,anger,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages "
4209,anger,im so mad about power rangers. im incensed. im furious.
4243,anger,I bet @mmunro91 is fuming with our draw 👀
4341,anger,#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!
4359,anger,@Dak2future decorations are up all over Jersey already #outrage
4404,anger,"You will never find someone who loved you like I did. And that my love, will be my revenge."
4489,anger,Inner conflict happens when we are at odds with ourselves. Honor your values and priorities.  #innerconflict #conflict #values
4544,anger,Extremely bitter about the fact that the Subway in Robart's has been replaced with a low-rent version of Chipotle
4596,anger,@winksahoy we about to get shit on by the wrath of winter out of nowhere
4646,anger,You a fuck boy if you run drag routes back to back in madden
4684,anger,#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge
4725,anger,#Anger or #wrath is an intense emotional response.
4736,anger,@JaredWyand Maybe if it was transgender the media would cover it #outrage
4759,anger,"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying #irritation #weirdsmells"
4812,anger,I swear if @devincameron23 blocks me I'm going to hit her back #revenge
4835,anger,"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling"
4863,anger,"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite"
4882,anger,I only have to wave a fiery cross and we will f**kin' do this!
4887,anger,Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating. #rage #smrtruinslives
4936,anger,"@SaraLuvvXXX : Whaaaat?!? Oh hell no. I was jealous because you got paid to fuck, but this is a whole new level.  #love #conflicted😬"
4946,anger,@TalkTalkCare  how on earth can I send an email to you? Very annoyed customer!!! #fuming
4994,anger,People who go the speed limit irritate me
5015,anger,This uber driver TRIED it with me &amp; he'll feel my wrath
5022,anger,@eMilsOnWheels I'm furious 😩😩😩
5056,anger,Ive always wondered how long Angelina put up with Brad's crap. Not gon lie 😐 
5077,anger,"And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,"
5195,anger,I love when people say they aren't racist right before they say some racist shit... Not how that works... #fuming
5218,anger,.@LEAFYSZERKER @markiplier is that an insult? Sounds like a job well done. it's red so it's done the job it was suppose to do #justsaying
5243,anger,@bassekraah. @sunilddesai @jyoti1013 @Archnahr . A2: #irritation and isolation #lifenabler
5287,anger,i can't believe they're all messing up my favourite of all bakes i feel personally offended
5366,anger,Another L on the board we just cannot match up on paper with these teams at the moment and its showing on the field. Onto Denver 
5484,anger,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster."
5501,anger,never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*
5540,anger,I am beginning to think sun blcok is a haox.
5554,anger,@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the 
5584,anger,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed
5609,anger,@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.
5628,anger,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered
5654,anger,come on let's make em hate 😘make em pout they face 👿😩.
5717,anger,Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/  #annoyed
5731,anger,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended
5762,anger,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
5806,anger,@johnmerro1 @Liberobility still bitter about last night lads 😂
5842,anger,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
5896,anger,I'm not used to pretty girls that use curse words to express their anger. I just feel like I'm a little bit surprised and turned off as well
5920,anger,Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up #fuming
6188,anger,2 days on.......never a fucking pen!!!! #nffc 
6194,anger,"If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen"
6218,anger,@Austin4evaLEEDS fuming!
6269,anger,Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.
6311,anger,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram
6314,anger,"They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like these..."
6352,anger,@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay
6402,anger,Candice's standing pout face aggravates me every week
6418,anger,@EagleGiles23 @tgilmore_92 what I miss? #outrage
6478,anger,my mom cut my phone off and I'm so furious 🤗
6498,anger,We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews
6510,anger,@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming
6640,anger,Can we get a shot of Lingys face at 1/4 time ? Pretty sure it would be more red then his hair #fuming #pretendinghesok #ruok #AFLCatsSwans
6748,anger,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental."
6758,anger,@TillTheEndMMVI I accidetly dumped boiling water my myself 😫
6775,anger,@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.
6831,anger,@JoyAnnReid you're right choice I had to slam him he is one ignorant man and I really resent that statement Don King is an embarrassment
6850,anger,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn 
6866,anger,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5"
6882,anger,@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery?   #rage. #iphonePhoneHome
6911,anger,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
7021,anger,Bloody parking ticket 😒💸 #fuming
7032,anger,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address  #poorcustomerservice
7128,anger,Stuck in a infuriate scrum about hegemonists. #infuriate #scrum #scrum #Stuck
7150,anger,Wish my headache/almost migraine would go away!
7171,anger,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #angry #unfair #ugh
7199,anger,I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes
7200,anger,@HotpointUK 'customer service ' beyond appalling. Faulty dryer replacement breaks within wks no parts for 3 wks. Engineers no show. 
7283,anger,"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either."
7333,anger,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.
7344,anger,@delta correction 26 ppl. Checked in. Standing at the gate. &amp; Flt 1449 took off without us. #furious
7359,anger,@deshbhakthoon always unhappy and easily offended.
7382,anger,@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk
7416,anger,"Probably gonna end up seriously poorly at some point soon, so tired, and go from freezing to boiling in the space of seconds"
7426,anger,very little frustrates me as much as misplacing something. Been looking for my keys for 2 hours now 
7514,anger,Making my buddy cry !! Bitch wait for revenge 🤗👌🏻
7628,anger,"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger"
7672,anger,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.
7686,anger,"Anger that you are willing to take out on people &amp; the world in general, &amp; ALL #police, is WORST, most indefensible kind of #anger."
7723,anger,@lmench i'm actually offended by it.  naming the most fattening sandwich after a man who died of coronary disease likely due to his diet?
7780,anger,"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ..."
7861,anger,@RoyEnglish roy as fiery
7877,anger,If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman
7902,anger,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
7911,anger,How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended
7954,anger,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.
8009,anger,@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis 
8081,anger,Dude go out his way to irritate me🙄🙄 that's why I go out my way to not give up any pussy🙅🏾🅿️
8115,anger,@Thebeast_ufc what happened to the suicide tweet it was a joke obviously how could that offend anyone?🤔
8157,anger,My irritation level is at an all time high today 🙃
8179,anger,When someone rudely says all women should have long hair and your inner feminist tries not to rage
8181,anger,#twitterfails fucking hard right now...this is annoying
8182,anger,@BI_Science Opioid rapid pill plague...Speed generations Pulse Rapid rabid Impairment Ist Choice Stacked usage vs street ingestion demo US
8240,anger,Why a puerto Rican with Taino hair and a black nose gotta ruffle your targeted feathers?
8265,anger,"So, what's so great bout your so called 'wonderful love life'?  For god sake, W-A-T-E-V-A!"
8337,anger,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
8384,anger,@kylemuir17 @Ealvarezfight @danawhite @TheNotoriousMMA he'll defend his belt against aldo after its not that hard u grudge holding bitch
8403,anger,Worst juror ever? Michelle. You were Nicole's biggest threat.  #bb18
8459,anger,"Y'all bitches be so angry and bitter, that must truly suck lol"
8520,anger,sam and sean are teasing me saying they are gonna get wings without me
8532,anger,@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!
8549,anger,#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily #rage
8583,anger,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! "
8592,anger,"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter"
8684,anger,@girlsreallyrule Both Trump + King are relentless self-promoters who don't give a rip about anyone else. A perfect match for both Donalds.
8708,anger,"This may offend some, but I say u never trust a cop 🚓 of any color, but especially not a white 1(the evidence is clear)! The klan has awoke"
8843,anger,@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡
8930,anger,Fake people irritate me
8933,anger,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage
8948,anger,I'm just a fuming ball of anger today 🙃
8961,anger,"Okay you've annoyed me, you haven't done a good job there at all. #furious"
9001,anger,Dear @TfL please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming 😡
9080,anger,Losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes &amp; whoever picked up cut me off #fuming #NoWorkForMe
9095,anger,This is a joke @SomersetCCC #fuming
9108,anger,"@maddsie Thanks, none close to me."
9164,anger,"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror"
9177,anger,@arppaul @chetanlfc @mannkakhiladi @dey_spandan @umeroffcial  Comparing Akshay Sir with this zandu balm is an insult to Akshay Sir.
9201,anger,"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by."
9228,anger,"If angry, bash out your frustration on the pastry #GBBO"
9245,anger,My anger is boiling over.
9297,anger,"@mdivincenzo9 he's stupid, I hate him lol "
9395,anger,@djddueces jojo at 12:30 and not midnight lets rage WRYYYYYY
9464,anger,"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks"
9553,anger,Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part
9624,anger,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
10230,anger,When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms
10477,anger,@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha #bitter
10514,anger,@politico @realDonaldTrump another angry white man!
10562,anger,I am using twitter as a coping mechanism for raging out at this kid oops?
10694,anger,"@TeamShanny legit why i am so furious with him, people are such fucking idiots."
10704,anger,@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious
10709,anger,@StrangeFacesLA why doesn't this account follow me #offended
10747,anger,I can't have a dog in my flat! Literally no reason either! Sorry potential doggie! #landlords #doglover #sad #angry #rescuedog #dog ;_;
10887,anger,"@SkyNews when the East wind blue in summer in Durban, S Africa, we still surfed and got #stung badly! Must be carefull-A #sting can harm you"
10941,anger,@iAmSJ I'm so mad for our clients I'm furious lmao
11068,anger,Still can't log into my fucking Snapchat #Snapchat 
11076,anger,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed
11082,anger,@russbully Ended up paying 75p for half a tube of smarties. Don't even get the pleasure of popping the plastic lid off either #outrage
11108,anger,so many 'protests for peace' going on lately but all i see is people burning down they're own cities and hometowns. Practice what u preach.
11115,anger,"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit"
11147,anger,@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.
11298,anger,The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet #revenge.
11305,anger,I dislike people who get offended by the littlest shit .
11338,anger,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt
11415,anger,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!
11443,anger,@summar_rose @turehndebushra @_taaz_mania @fxla_ summar one more insult from you and you're gone Idc if you're my dad
11453,anger,"@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows"
11470,anger,@tommcfly Why do you not respond me?
11498,anger,... flat party and I instantly get bollocked about it. 
11500,anger,@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags
11624,anger,Ive always wondered how long Angelina put up with Brad's crap. Not gon lie 😐 #bitter
11672,anger,"@SaraLuvvXXX : Whaaaat?!? Oh hell no. I was jealous because you got paid to fuck, but this is a whole new level. #anger #love #conflicted😬"
11786,anger,@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄
11793,anger,Candice's pout is gonna take someone eye out mate! #GBBO
11815,anger,don't provoke me after letting me down !
11826,anger,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2"
11876,anger,@serendipity127_ @zombiecalorie @Angel_Eyes66 I'm sensing a theme here tho lol #angry
11894,anger,"#CharlotteRiots #passion? or #anger act of violence.\nIf mourning for those who have past away, #stayhome  #whyout"
11915,anger,#Scorpio always seek revenge!
11931,anger,"@LeahMul awh, thats not good,   get better soon!"
11954,anger,@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading 
11970,anger,"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long..."
12051,anger,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know
12101,anger,Connivers blind to existential fury
12261,anger,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging
12315,anger,@noris_prosk8r2 (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.)
12329,anger,@clppng #offended the tonys have found a way to leave me out and now y'all have too
12338,anger,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
12344,anger,@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain #angry
12347,anger,•My brother grabbed me in a aggressive manner and as always @ImpetuousFiend threw tantrums like a kid only knowing how to express himself--
12368,anger,"#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back."
12415,anger,Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l...
12577,anger,"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen."
12602,anger,"Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff 🙄"
12648,anger,Don't chase fame\nif you're going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH
12669,anger,#BB18 Michelle crying  again #shocking #bitter He's  just not that into you 😢#TeamNicole
12671,anger,Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!
12694,anger,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane"
12775,anger,hitting your children as discipline because you're being quite a raging hypocrite if you're not.
12940,anger,Packing  I don't like it..
12944,anger,@Claymakerbigsi @toghar11 @scott_mulligan_ @BoxingFanatic_ Fucker blocked me 2 years ago over a question lol - proper holds a grudge old Joe
12972,anger,@Supergold2002 Terence- got a lot of anger issues from my family and school.
13058,anger,Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference
13100,anger,@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry
13112,anger,Feel the wrath of my air-dropped pamphlets!
13159,anger,the world drives whoever it has assessed as tenderhearted or vulnerable to build up their guards &amp; invigorate raging self defense mechanisms
13192,anger,#thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think ?? it all confusing
13206,anger,Now it's time to remove CB from the team somehow. Screw it. Rip the Band-Aid off. It'll sting for a bit but everyone will get over it.
13262,anger,Why mfs so bitter
13415,anger,I guess #bradangelina &gt; #anger &gt; #blacklivesmatter
13444,anger,"Being abroad is causing me to make spontaneous decisions and not worry about things which is good, but the type A part of me is fuming"
13637,anger,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!"
13667,anger,@atheist_taco @DrJillStein :^) well cucks among her ranks agree equally about their outrage of black youths shot and harambe.
13716,anger,@TalkTalkCare  how on earth can I send an email to you? Very annoyed customer!!! 
13744,anger,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly
13802,anger,@iaindodsworth Told you that when you got rid of the last one. Did you listen
13806,anger,I really wish my road rage wasn't so damn bad lmaooooo
13839,anger,@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry
13844,anger,When you want to say something so bad but can't ! #furious 😤
13885,anger,When your sister is 19 and throws legitimate temper tantrums just to get attention..
13901,anger,@LisaAsquithtobe @craig8710 @WayneHaselden @june65wigan everyone is against wigan because we are the biggest club #bitter
13919,anger,Honestly fuming
14116,anger,@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard
14134,anger,"@CBSBigBrother never bring back Meech and Bridgette. Crying because someone looks at you? Ugh, and Bridgette. #bitter"
14170,anger,Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠  #Rooney #mufc
14173,anger,@paulmoxham everything is your fault moxy...everything.   x
14184,anger,@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.
14245,anger,They gonna give this KKk police bitch the minimum sentence..just wattch #angry
14372,anger,Bitches aggravate like what inspires you to be the biggest cunt known to man kind?
14439,anger,I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming
14550,anger,@laura221b I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷
14610,anger,aaaaaaaaaaa McFly
14615,anger,"@dreamsandpocky Like, despite all my irritation towards ur ship, at least its canon. BuckyNat is canon, (and clintwanda is canon)"
14654,anger,@playspymaster I want an invite - sick of seeing all these links for people playing and being left out
14672,anger,@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos
14714,anger,A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming
